# Source: arXiv:2203.09556 ancillary file Conformal_Data.nb.
# Extracted via data/extract_conformal_data.py.
n_value,g,Delta
9,0.3,3.7897223670292886
9,0.35,3.989782447035741
9,0.4,4.185347283327563
9,0.45,4.371458276297209
9,0.5,4.545257739549043
9,0.55,4.7056945983790905
9,0.6,4.85298345975977
9,0.65,4.988032430991996
9,0.7,5.112014846900061
9,0.75,5.226123037686376
9,0.8,5.33145725799313
9,0.85,5.4289905268814405
9,0.9,5.519568366597613
9,0.95,5.603921556610195
9,1.0,5.682681998189183
9,1.05,5.756397818343799
9,1.1,5.825546507716817
9,1.15,5.890545944319757
9,1.2,5.951763518252897
9,1.25,6.009523659509785
9,1.3,6.064114058238933
9,1.35,6.1157908247533515
9,1.4,6.164782791253813
9,1.45,6.2112951171778095
9,1.5,6.255512327156307
9,1.55,6.297600884300091
9,1.6,6.337711380855703
9,1.65,6.375980412043131
9,1.7,6.4125321861438085
9,1.75,6.447479913867568
9,1.8,6.480927012081419
9,1.85,6.512968150661865
9,1.9,6.543690166176304
9,1.95,6.573172862032124
9,2.0,6.60148971144303
9,2.05,6.6287084768877085
9,2.1,6.654891757550191
9,2.15,6.680097474435798
9,2.2,6.704379301374791
9,2.25,6.727787048897206
9,2.3,6.750367006939365
9,2.35,6.772162251487727
9,2.4,6.7932129195440725
9,2.45,6.813556456198098
9,2.5,6.833227837072944
9,2.55,6.852259768980676
9,2.6,6.870682871249879
9,2.65,6.888525839884178
9,2.7,6.905815596412807
9,2.75,6.92257742309617
9,2.8,6.9388350859217285
9,2.85,6.954610946664054
9,2.9,6.9699260651327615
9,2.95,6.984800292597722
9,3.0,6.999252357270461
9,3.05,7.013299942622107
9,3.1,7.026959759228656
9,3.15,7.0402476107618845
9,3.2,7.053178454675786
9,3.25,7.0657664580804465
9,3.3,7.078025049243635
9,3.35,7.089966965114759
9,3.4,7.101604295225589
9,3.45,7.112948522286278
9,3.5,7.1240105597643595
9,3.55,7.134800786703863
9,3.6,7.145329080020167
9,3.65,7.155604844480567
9,3.7,7.165637040562281
9,3.75,7.175434210361269
9,3.8,7.185004501709185
9,3.85,7.194355690641507
9,3.9,7.203495202346902
9,3.95,7.21243013071631
9,4.0,7.221167256599783
10,0.0,4.0
10,0.01,4.000174158523378
10,0.02,4.000696632053143
10,0.03,4.001567414689435
10,0.04,4.00278649733858
10,0.05,4.004353868852784
10,0.05,4.004353868852784
10,0.06,4.0062695177620515
10,0.07,4.00853343487503
10,0.08,4.01114561722921
10,0.09,4.014106074067298
10,0.1,4.017414835642947
10,0.1,4.017414835642947
